id_dep;nome;partido;UF;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9
178959;"HiranGonçalves";pmn;RR;sim;sim;sim;sim;sim;sim;não;não;não;não;sim;não votou;sim;sim;sim;sim;sim;não;sim
136811;"AfonsoHamm";pp;RS;não;sim;sim;não;não;não;sim;não;sim;sim;sim;sim;não;sim;sim;sim;não;não;sim
160527;"AguinaldoRibeiro";pp;PB;sim;sim;sim;não;sim;sim;sim;não;sim;sim;sim;sim;sim;não;não votou;não votou;sim;sim;sim
160541;"ArthurLira";pp;AL;sim;sim;sim;não;sim;sim;não;não votou;não votou;não votou;sim;não;sim;não votou;sim;sim;sim;sim;sim
178948;"BetoRosado";pp;RN;não;sim;sim;não;não votou;não;sim;não;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim
93083;"CacáLeão";pp;BA;sim;sim;sim;não;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim
178848;"ConceiçãoSampaio";pp;AM;sim;sim;sim;sim;não;não;sim;sim;sim;sim;não;sim;não;abstção;não;não;sim;não;sim
178963;"CovattiFilho";pp;RS;sim;sim;sim;sim;sim;não;sim;não;sim;sim;sim;não;não;sim;sim;sim;sim;sim;sim
73768;"DilceuSperafico";pp;PR;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim
160599;"DimasFabiano";pp;MG;sim;sim;sim;não;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim
141421;"EduardodaFonte";pp;PE;não votou;não votou;não votou;sim;sim;sim;não votou;não votou;não votou;não;não votou;não votou;não votou;sim;sim;sim;não votou;não votou;sim
160649;"EsperidiãoAmin";pp;SC;sim;sim;sim;não;não;não;sim;não;sim;não;não;não votou;não;sim;sim;sim;não;não;sim
178904;"EzequielFonseca";pp;MT;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;sim;sim;sim;sim;sim;sim;sim
92699;"FernandoMonteiro";pp;PE;sim;sim;sim;não votou;não votou;sim;sim;não votou;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim
160667;"GuilhermeMussi";pp;SP;sim;sim;sim;sim;sim;sim;sim;não;sim;não votou;sim;não votou;sim;não votou;sim;sim;sim;sim;sim
67138;"IracemaPortella";pp;PI;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim
74847;"JairBolsonaro";pp;RJ;sim;sim;sim;não;não;não;sim;não;sim;sim;não;sim;não;sim;sim;sim;sim;sim;não votou
160570;"JerônimoGoergen";pp;RS;não;sim;sim;sim;não;não;não votou;não votou;sim;não votou;sim;não;sim;sim;sim;sim;sim;sim;sim
74388;"JorgeBoeira";pp;SC;não;sim;sim;não votou;não;não;não;sim;não votou;não;não votou;não votou;não votou;não votou;sim;sim;7 não;não;não
74395;"JoséOtávioGermano";pp;RS;sim;sim;não votou;sim;não;não;não votou;não votou;sim;não votou;sim;não votou;não;sim;sim;sim;não;não votou;sim
74253;"JulioLopes";pp;RJ;sim;sim;sim;abstenção;sim;sim;sim;não;sim;não;sim;não votou;não votou;sim;sim;sim;sim;sim;sim
141480;"LázaroBotelho";pp;TO;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim
73483;"LuisCarlosHeinze";pp;RS;sim;sim;sim;sim;não;não;sim;não;sim;não;sim;sim;não;sim;sim;sim;sim;sim;sim
141487;"LuizFernandoFaria";pp;MG;sim;sim;não votou;sim;sim;sim;sim;não;sim;sim;sim;não votou;sim;não votou;sim;sim;sim;não votou;sim
178932;"MarceloBelinati";pp;PR;sim;não;sim;não;não;não;não;sim;sim;não;sim;sim;não;sim;sim;sim;não;não;não
74235;"MarcusVicente";pp;ES;sim;sim;sim;não;sim;não;não votou;não;sim;não votou;sim;sim;não;sim;sim;sim;sim;sim;sim
